geocode,year,count,country,log_count
4,URY,1982,2,Uruguay,0.6931471805599453
1,BRA,1982,3,Brazil,1.0986122886681098
6,VEN,1982,3,Venezuela,1.0986122886681098
0,ARG,1982,5,Argentina,1.6094379124341003
5,USA,1982,67,USA,4.204692619390966
0,USA,1983,73,USA,4.290459441148391
5,THA,1984,1,Thailand,0.5
1,IDN,1984,2,Indonesia,0.6931471805599453
4,KOR,1984,2,South Korea,0.6931471805599453
6,TWN,1984,3,Taiwan,1.0986122886681098
0,CHN,1984,4,China,1.3862943611198906
2,IND,1984,4,India,1.3862943611198906
3,JPN,1984,5,Japan,1.6094379124341003
7,USA,1984,75,USA,4.31748811353631
0,AUT,1985,1,Austria,0.5
1,CHE,1985,1,Switzerland,0.5
4,FRA,1985,1,France,0.5
5,GBR,1985,1,Scotland,0.5
6,HUN,1985,1,Hungary,0.5
7,IRL,1985,1,Ireland,0.5
11,PRT,1985,1,Portugal,0.5
12,TUR,1985,1,Turkey,0.5
3,ESP,1985,2,Spain,0.6931471805599453
8,ISR,1985,2,Israel,0.6931471805599453
9,ITA,1985,2,Italy,0.6931471805599453
10,NLD,1985,2,Netherlands,0.6931471805599453
2,DEU,1985,7,Germany,1.9459101490553132
13,USA,1985,66,USA,4.189654742026425
0,USA,1986,82,USA,4.406719247264253
2,COL,1987,1,Colombia,0.5
5,VEN,1987,1,Venezuela,0.5
3,ECU,1987,2,Ecuador,0.6931471805599453
0,ARG,1987,4,Argentina,1.3862943611198906
1,BRA,1987,7,Brazil,1.9459101490553132
4,USA,1987,59,USA,4.07753744390572
0,BEL,1988,1,Belgium,0.5
1,CHE,1988,1,Switzerland,0.5
3,ESP,1988,1,Spain,0.5
4,GBR,1988,1,Scotland,0.5
5,GRC,1988,1,Greece,0.5
8,SWE,1988,1,Sweden,0.5
6,NLD,1988,2,Netherlands,0.6931471805599453
7,RUS,1988,2,Russia,0.6931471805599453
2,DEU,1988,3,Germany,1.0986122886681098
9,USA,1988,68,USA,4.219507705176107
3,THA,1989,1,Thailand,0.5
4,TWN,1989,2,Taiwan,0.6931471805599453
0,CHN,1989,3,China,1.0986122886681098
2,KOR,1989,3,South Korea,1.0986122886681098
1,JPN,1989,5,Japan,1.6094379124341003
5,USA,1989,70,USA,4.248495242049359
0,CAN,1990,1,Canada,0.5
1,USA,1990,72,USA,4.276666119016055
0,USA,1991,84,USA,4.430816798843313
0,ARG,1992,1,Argentina,0.5
1,BRA,1992,1,Brazil,0.5
2,USA,1992,60,USA,4.0943445622221
0,AUT,1993,1,Austria,0.5
1,BEL,1993,1,Belgium,0.5
2,ESP,1993,1,Spain,0.5
3,FRA,1993,1,France,0.5
4,GBR,1993,1,Scotland,0.5
5,HUN,1993,1,Hungary,0.5
6,USA,1993,57,USA,4.04305126783455
0,CHN,1994,1,China,0.5
3,TWN,1994,1,Taiwan,0.5
2,KOR,1994,2,South Korea,0.6931471805599453
1,JPN,1994,3,Japan,1.0986122886681098
